Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_hashed,Price_Encrypted,RAM_Size_Enc
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABoI2Y2ra2EtkUUWjMT-bdCUXIz5bcwaC1bY4ITMt2YgWpLYY3CcfHpcoTAejM_XDopiJgSb64MHVwpzdJKmmfxBzniuh6gmQFM99CwA7rfk3G4XSw=,gAAAAABoI2Y2liikWZJlCMVYlQmjHWNva73Jrfifnc77bYZn50QbQGnyeyHx_55p1RurN_QAFoHOuIkPlGPMulgYzrdK5MIKyw==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABoI2Y2nXt_6QsTyWBIDErN4SAhxVNn99gYglmunPSkHngdW8873UKU9QyJfHqZZIcM2ENsutayJGnTiU8tYqmoruXKUk9q0lP37QdOc3MjLCrr3u8=,gAAAAABoI2Y2_ZoyZsHlXwNvYNdu7Ii5d0AbNCnJkyvXX9o2e68TqfWUF77VYtCGKVHHIHMR4ZyPf3FP8d3kQ3YTsK5ks22UhA==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABoI2Y25H8uATMYGcT4gn-GcnbrsiFOP0bB1-gz_mAAkjDu0GxxdxO14wj5U4KjTo3m7jgVsD5N2OriK1kuZcTs77kExzXiV5ekqLToKAxXMWQ1BWQ=,gAAAAABoI2Y2Qkpcd4pSthcn2f_7Zq4jap-b9ct4svQIPXL57egOZLYjqSz8wL9wOZWahPKbLuor_3acbrRdKvqB3wxjoGNBTg==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABoI2Y2dWIsv6yBpZeYEch09i-3YdhNA37su8D44DAmaxHY1iUxoKgM9bLU7BR9WddfidNMomxZttkKscGxv5uTYZmu2vBlIyixKgYv9Wac62YnwLc=,gAAAAABoI2Y20y7KciQ4YxUSdYb460PGdgDIRk_-i19dBozkAQw2P7uFErbR5iorNK-8fyMrOY7U5YH1KQVk-GlZqrw1TBl7Fg==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABoI2Y29BxnP5WPfNDLd8x6vyU74wwQ109QEd48QYEGzdJO2r4yYN9p4r-TQVBxxC0sS94xzWO_wSHenXJJPR63hjCDq8h7yX-LU0WcxTZKOwBp7P0=,gAAAAABoI2Y2_Sx8rICrwUof14kwKTUVi4fO1ZmedZCOke5wbw-l6aMm3bxLguqchjcavLDbKg__40ftl3qYzJyZdpSzGPyiCg==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABoI2Y2oSOiskfxSEo4eA3JnA1bEC_UEu3_PjgvUG_hKmasB35k_n6vecHXi4lqZEtnRkrOefV8Q6twpNuuDfL0xwCya7u2qqBbqzZ6eVWwEUz6M7I=,gAAAAABoI2Y2KL7FxoPBenrvp_tMOoZLO_D12xHGIzLSfrf-YHjGcuH7JlwVf-wc9c0ZQSulwBAlgkRpGaEkxcnnKKQLVur59w==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,gAAAAABoI2Y2EFo42tFsxKX-bpGhxA3nuR7yzboIMbZ6S_-rrqMO7r10yV7nT-r3io85KhVvJEiJ0k9i-FSKBjeA9Tf9aU38rVWSOwtOdFVbVsyliU010h8=,gAAAAABoI2Y2VlZGuKpkzmY9tuPwmIoFfWlfUv7OmeDjdBda7jZutgBkrGRFlJhExalhb35xZnoCrbeM5iVbyAneRjmBXMs5fA==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABoI2Y2TI05zOi1AVsRggwB6aItW1Ii-5kksxAbBnrNlJtdMaGAIOHwl9UATflEdaIREjlCdqi2Mco2wdqq-IxYSj1KHO_ByJPbUFb71cItxPhE69o=,gAAAAABoI2Y28CWc4MKCXBe3Ce4NEwFNpZEfyjxlyg10q6S-vC9y2AX0BGZe6Xc7y-1_qR9ihyC8umR9OsdVpQsjfn5wzd7Low==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABoI2Y2HZ6ept_6OaY_2BbMC70iXm4GOZZbtzVharR_TB3JPFyXzXxzKwPKJ6pnIjZ3SCpMWA5TA0AfacJUdhLrglgv43RPlYolD1V5Gb3KHDX4pqI=,gAAAAABoI2Y2yzpjqL4pP4r4xq5LfzCztIL1grWjb8hz-SY5Fiz9_T0_ngqFNKYAWIVfMoN2au6Z0KhlKC2p4W5Fwg3XrxditA==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,gAAAAABoI2Y2qJO6fVndnwdJRfzDIxOsS24cOX-IWWccjJ2SBUb_x47Gm17lTKqs61q51mSfzM9ocuc7vVPXl5yZbopvTiipORLoojk38FlNoJMrOZtY1Rk=,gAAAAABoI2Y2O_gUddQJXzs634waSzopIyqbMlcbj6VhZnzh7LyvHuRTxMUq3LX1juQQmIBBOJzl-U17qXZOGHsOFAZ1aeR3lQ==
